Player_Name,Team,Nationality,Player_Type,Capped,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches,Run_outs,Stumps
Abdul Samad,Hyderabad,Indian,Batter,1,23,222,15.86,146.02,2,52.5,13.12,24,,,
Abhijeet Tomar,Kolkata,Indian,Batter,0,5,65,13,73,,,,,,,
Abhinav Sadarangani,Gujarat ,Indian,Batter,0,4,162,54,150,,,,,,,
Abhishek Sharma ,Hyderabad,Indian,Allrounder,1,22,241,17.21,139.31,7,25.14,8,18.86,,,
Aiden Markram,Hyderabad,Overseas,Batter,1,6,146,29.3,122.69,,,,,,,
Ajinkya Rahane ,Chennai,Indian,Batter,1,151,3941,31.53,121.34,,,,,,,
Akash Deep ,Bangalore,Indian,Bowler ,0,22,,,,26,18.5,6.42,,,,
Alzarri Joseph,Gujarat,Overseas,Bowler ,1,3,,,,6,14.5,10.04,8.67,,,
Aman Khan ,Delhi,Indian,Allrounder,1,5,40,13.3,148.1,0,0,7,0,,,
Ambati Rayudu,Chennai,Indian,Keeper,1,175,3916,29.4,127.5,,,,,58,12,2
Andre Russell,Kolkata,Overseas,Allrounder,1,84,1700,29.31,178.57,72,26.4,9.05,17.51,,,
Aneeshwar Gautam ,Bangalore,Indian,Allrounder,2,,,,,,,,,,,
Anmolpreet Singh,Hyderabad,Indian,Batter,1,1,16,16,114.29,,,,,,,
Anrich Nortje,Delhi,Overseas,Bowler ,1,24,7,7,116.67,34,20.56,7.65,16.12,,,
Anuj Rawat,Bangalore,Indian,Keeper,1,1,0,0,0,,,,,3,0,0
Anukul Roy,Kolkata,Indian,Allrounder,0,31,304,21.7,141.4,19,36.5,7.09,30.9,,,
Arjun Tendulkar ,Mumbai,Indian,Allrounder,2,,,,,,,,,,,
Arshdeep Singh ,Punjab,Indian,Bowler ,1,23,2,2,33.33,30,22.3,8.78,15.23,,,
Ashok Sharma ,Kolkata,Indian,Bowler ,2,,,,,,,,,,,
Atharava Taide,Punjab,Indian,Allrounder,0,20,507,29.8,129.7,10,13.4,5.36,15,,,
Avesh Khan,Lucknow,Indian,Bowler ,1,25,,,,29,25.83,8.23,18.83,,,
Axar Patel,Delhi,Indian,Allrounder,1,109,953,17.3,125.33,95,29.07,7.22,24.16,,,
Ayush Bodani ,Lucknow,Indian,Allrounder,2,,,,,,,,,,,
Baltej Dhanda,Punjab,Indian,Bowler ,0,22,,,,26,24.5,7.81,,,,
Banuka Rajapaksa,Punjab,Overseas,Batter,0,18,320,26.7,136.2,,,,,,,
Bhagath Varma ,Chennai,Indian,Allrounder,2,,,,,,,,,,,
Bhuvneshwar Kumar,Hyderabad,Indian,Bowler ,1,132,217,8.35,96.88,142,25.27,7.3,20.77,,,
Chetan Sakariya ,Delhi,Indian,Bowler ,1,14,,,,14,30.43,8.19,22.29,,,
Daniel Sams,Lucknow,Overseas,Bowler ,1,5,,,,6,153,8.5,108,,,
Darshan Nalkande,Gujarat,Indian,Allrounder,0,22,73,7.3,85.9,43,12.8,7.25,10.6,,,
David Miller ,Gujarat,Overseas,Batter,1,89,1974,32.9,136.51,,,,,,,
David Warner ,Delhi,Overseas,Batter,1,150,5449,41.6,139.97,,,,,,,
David WIlley,Bangalore,Overseas,Allrounder,1,3,0,0,0,2,47.5,9.5,30,,,
Deepak Chahar ,Chennai,Indian,Bowler ,1,63,79,11.29,138.6,59,29.19,7.8,22.44,,,
